epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6409,0.69259,0.89412,1.00109,0.94585,0.95444,0.90201,0.96153,0.77362,0.95568,0.90323,0.9609,0.78612,0.73655,0.86316,0.60944,1.01809,0.000553082,0.000553082,0.000553082
2,144.049,0.73583,0.80627,0.60455,0.96842,0.92463,0.90877,0.96065,0.75917,0.92592,0.90999,0.96509,0.76793,0.737,0.74438,0.61574,1.03033,0.00105387,0.00105387,0.00105387
3,220.85,0.71666,0.78032,0.55427,0.96196,0.94897,0.91291,0.96174,0.77884,0.94989,0.9148,0.96306,0.77983,0.71638,0.80334,0.5441,1.01901,0.00149964,0.00149964,0.00149964
4,300.092,0.69103,0.76384,0.52234,0.95626,0.97229,0.92897,0.97519,0.81215,0.969,0.92762,0.97569,0.78743,0.64111,0.77269,0.47338,0.97556,0.00141945,0.00141945,0.00141945
5,367.234,0.669,0.7641,0.48389,0.94144,0.95671,0.957,0.98362,0.81739,0.96194,0.94747,0.98211,0.77988,0.62984,0.70956,0.46546,0.95001,0.00133693,0.00133693,0.00133693
6,434.611,0.64216,0.73722,0.4474,0.93291,0.9719,0.96031,0.98915,0.839,0.97123,0.96469,0.98742,0.81486,0.59971,0.71795,0.38763,0.94691,0.00125442,0.00125442,0.00125442
7,501.293,0.6211,0.71259,0.43318,0.9246,0.98507,0.96388,0.99234,0.85028,0.97245,0.97659,0.99167,0.82895,0.57298,0.68628,0.35246,0.93743,0.0011719,0.0011719,0.0011719
8,568.33,0.60544,0.68633,0.40466,0.9213,0.98016,0.96698,0.98968,0.84247,0.97836,0.96521,0.98857,0.81612,0.58561,0.75647,0.38635,0.92749,0.00108938,0.00108938,0.00108938
9,636.063,0.58998,0.68133,0.39056,0.91365,0.97357,0.97769,0.99195,0.8677,0.97357,0.97769,0.99195,0.83176,0.54239,0.67877,0.33156,0.90999,0.00100687,0.00100687,0.00100687
10,703.753,0.58424,0.69177,0.38093,0.91004,0.98196,0.96543,0.99178,0.85784,0.98196,0.96543,0.99177,0.83515,0.54771,0.6684,0.31572,0.91041,0.000924352,0.000924352,0.000924352
11,783.502,0.55903,0.64845,0.34466,0.91969,0.98616,0.97291,0.99212,0.86373,0.98616,0.97291,0.99201,0.83423,0.53881,0.6524,0.32195,0.90989,0.000841835,0.000841835,0.000841835
12,850.36,0.54771,0.64273,0.33079,0.91002,0.99034,0.97489,0.99308,0.86388,0.99034,0.97489,0.99308,0.84012,0.56387,0.64507,0.32071,0.90634,0.000759318,0.000759318,0.000759318
13,917.216,0.53502,0.62828,0.32181,0.89837,0.98617,0.97526,0.99273,0.87764,0.98493,0.97404,0.99241,0.83237,0.51846,0.66402,0.30572,0.88809,0.000676802,0.000676802,0.000676802
14,984.674,0.51612,0.61742,0.30383,0.89118,0.98902,0.98069,0.99333,0.87674,0.98846,0.98014,0.99276,0.83651,0.50898,0.65341,0.29438,0.89256,0.000594286,0.000594286,0.000594286
15,1052.01,0.50246,0.60758,0.28932,0.88775,0.98358,0.98028,0.99224,0.8825,0.98462,0.97851,0.99195,0.85485,0.50062,0.64255,0.28882,0.87753,0.000511769,0.000511769,0.000511769
16,1119.14,0.49088,0.60115,0.28165,0.87681,0.98671,0.98571,0.99335,0.8916,0.98635,0.98516,0.99334,0.85551,0.48799,0.63946,0.26933,0.87109,0.000429253,0.000429253,0.000429253
17,1185.2,0.48206,0.59852,0.27056,0.87298,0.98638,0.98394,0.99345,0.88974,0.98519,0.98251,0.9931,0.85402,0.48503,0.63679,0.26123,0.86997,0.000346736,0.000346736,0.000346736
18,1265.76,0.46811,0.58433,0.25899,0.86649,0.98594,0.98541,0.99352,0.89585,0.98641,0.98212,0.99336,0.85043,0.47876,0.63454,0.2511,0.86869,0.00026422,0.00026422,0.00026422
19,1335.96,0.45448,0.57935,0.2457,0.86144,0.98493,0.98491,0.99368,0.89688,0.98372,0.98369,0.99361,0.86071,0.4684,0.61715,0.24631,0.85994,0.000181703,0.000181703,0.000181703
20,1403.33,0.44575,0.56662,0.23755,0.85467,0.98451,0.98762,0.99343,0.90088,0.98285,0.9858,0.99332,0.8524,0.46167,0.62208,0.23494,0.85655,9.91865e-05,9.91865e-05,9.91865e-05
