epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,93.0096,0.79857,0.366,1.00921,0.97374,0.9665,0.98061,0.76477,0.8927,0.3183,1.08348,0.000148525,0.000148525,0.000148525
43,186.739,0.80186,0.36574,1.01675,0.97728,0.97245,0.98486,0.77158,0.8991,0.31889,1.09321,0.00014605,0.00014605,0.00014605
44,274.751,0.79064,0.36148,1.01094,0.97112,0.97279,0.98343,0.76773,0.89793,0.32196,1.09724,0.000143575,0.000143575,0.000143575
45,362.633,0.78797,0.35518,1.01426,0.96604,0.97451,0.98352,0.77322,0.88532,0.31633,1.07772,0.0001411,0.0001411,0.0001411
46,450.607,0.78467,0.35355,1.01082,0.97759,0.96964,0.98116,0.76723,0.88699,0.31301,1.09029,0.000138625,0.000138625,0.000138625
47,538.485,0.78262,0.35348,1.00896,0.97616,0.97452,0.9828,0.76565,0.89902,0.31653,1.09114,0.00013615,0.00013615,0.00013615
48,627.104,0.77122,0.34776,0.99881,0.97159,0.97279,0.98362,0.7731,0.88349,0.31165,1.08296,0.000133675,0.000133675,0.000133675
49,725.803,0.77467,0.34888,1.00478,0.97895,0.97356,0.98472,0.77192,0.88807,0.31051,1.08844,0.0001312,0.0001312,0.0001312
50,825.43,0.76393,0.34911,1.00733,0.97614,0.97179,0.9808,0.76676,0.8941,0.31553,1.11036,0.000128725,0.000128725,0.000128725
51,914.746,0.76131,0.34166,1.00611,0.97895,0.96964,0.98173,0.76883,0.89084,0.31409,1.09272,0.00012625,0.00012625,0.00012625
52,1002.35,0.75315,0.33828,0.99146,0.97397,0.97406,0.98079,0.76163,0.90963,0.31826,1.09014,0.000123775,0.000123775,0.000123775
53,1099.42,0.75723,0.33905,0.99308,0.97988,0.97254,0.98348,0.77309,0.89653,0.31314,1.09177,0.0001213,0.0001213,0.0001213
54,1198.98,0.74646,0.33224,0.98993,0.97772,0.96679,0.97927,0.76726,0.90702,0.31576,1.10061,0.000118825,0.000118825,0.000118825
55,1297.78,0.74538,0.33203,0.98691,0.97412,0.96761,0.97913,0.77052,0.89963,0.3137,1.08993,0.00011635,0.00011635,0.00011635
56,1394.68,0.7333,0.33078,0.97997,0.97801,0.97292,0.98071,0.77021,0.89501,0.31601,1.0868,0.000113875,0.000113875,0.000113875
57,1492.46,0.73358,0.33093,0.98418,0.97499,0.97396,0.98361,0.76845,0.89664,0.31425,1.09519,0.0001114,0.0001114,0.0001114
58,1586.09,0.73458,0.32619,0.97831,0.97461,0.97337,0.9819,0.77103,0.89696,0.31219,1.08764,0.000108925,0.000108925,0.000108925
59,1675.1,0.72918,0.32284,0.97703,0.97753,0.97269,0.98039,0.76735,0.9051,0.31342,1.09731,0.00010645,0.00010645,0.00010645
60,1763.6,0.72377,0.32472,0.97362,0.97749,0.97398,0.98249,0.76828,0.89936,0.3107,1.09533,0.000103975,0.000103975,0.000103975
61,1851.53,0.72246,0.32313,0.97249,0.97573,0.9706,0.98097,0.76604,0.90254,0.31293,1.10129,0.0001015,0.0001015,0.0001015
62,1939.48,0.70972,0.31415,0.96642,0.97192,0.969,0.981,0.76909,0.90108,0.31313,1.09105,9.9025e-05,9.9025e-05,9.9025e-05
63,2027.75,0.71153,0.31657,0.97197,0.9733,0.97039,0.98105,0.76865,0.90336,0.31422,1.09929,9.655e-05,9.655e-05,9.655e-05
64,2115.56,0.70419,0.31553,0.97075,0.96665,0.97177,0.9807,0.76897,0.90434,0.31684,1.10413,9.4075e-05,9.4075e-05,9.4075e-05
65,2203.61,0.70203,0.31504,0.96764,0.9767,0.97334,0.98128,0.76955,0.89716,0.31372,1.09946,9.16e-05,9.16e-05,9.16e-05
